date,a_instance_count,a_cpu_usage,a_mem_usage,b_instance_count,b_cpu_usage,b_mem_usage,c_instance_count,c_cpu_usage,c_mem_usage,d_instance_count,d_cpu_usage,d_mem_usage,e_instance_count,e_cpu_usage,e_mem_usage,f_instance_count,f_cpu_usage,f_mem_usage,g_instance_count,g_cpu_usage,g_mem_usage,h_instance_count,h_cpu_usage,h_mem_usage
2019-05-05 17:27:00,657419.5111,4057.598912,3071.223737,559634.9111,4869.91745,4411.077765,482953.2833,4264.840459,2636.617834,565885.9278,3711.367802,3070.043492,488306.5556,3076.760905,2646.129601,703598.4778,7156.485859,3822.808228,494289.6611,5347.398149,2724.505743,511095.2111,5375.156047,3325.729126
2019-05-05 17:30:00,659598.9,4152.596421,3119.555535,563697.9889,4863.325251,4398.73949,474659.8056,4478.050854,2641.558162,558970.9444,3673.034202,3057.507309,466885.55,3023.241284,2628.45329,705561.3444,7108.263099,3820.084286,510099.1778,5528.327942,2783.183211,527457.45,5412.096525,3344.703642
2019-05-05 17:33:00,659035.1389,4148.571893,3125.155721,561079.4667,4856.366401,4399.502949,482498.8944,4577.399518,2667.797336,558360.6722,3664.978093,3058.516102,481671.9889,3103.652689,2620.223911,705023.2333,7067.523713,3803.312161,517738.3722,5559.445293,2811.380474,531976.1778,5324.624246,3334.396111
2019-05-05 17:36:00,654132.5,4159.391736,3155.182562,558720.7667,4826.385421,4402.580537,486504.6278,4693.094898,2703.213331,561722.1167,3655.570594,3069.296603,508964.4444,3149.966046,2646.047126,699524.0278,6996.158816,3784.622269,522726.1389,5592.484022,2858.031622,516063.9056,5203.474024,3321.85099
2019-05-05 17:39:00,653506.4889,4195.276783,3149.337931,558404.1833,4816.816056,4406.762252,496621.6389,4710.683891,2714.564311,565581.55,3791.279083,3070.805995,501925.3278,2923.336114,2629.48528,699132.2278,7084.18112,3793.87325,526500.2278,5834.076006,2923.610257,508430.5611,5076.858874,3310.970717
2019-05-05 17:42:00,652298.15,4208.249367,3140.713276,555633.3056,4837.772958,4357.726097,505930.9,4729.765879,2721.825442,597515.2167,3950.922668,3106.603757,471346.7,2788.442211,2600.586985,703094.9944,7168.281516,3803.28264,525717.0611,5975.798622,2962.608008,490590.9167,4996.961846,3292.416921
2019-05-05 17:45:00,651539.1667,4100.935902,3136.868699,559642.1278,4875.018677,4348.04866,510753.9333,4569.245226,2717.850744,612457.4889,3777.544376,3112.271741,461241.4278,2933.863819,2594.55994,706238.1,7129.360106,3811.403638,530266.0722,6024.939228,3002.431655,489384.0611,4991.32941,3291.993974
2019-05-05 17:48:00,650507.45,4092.387656,3132.424498,560183.3889,4883.831914,4349.440346,503563.5944,4493.94642,2700.55961,587554.7056,3763.084416,3084.885713,475657.8222,2944.391905,2608.416396,706057.7611,7057.106688,3806.719388,525808.6111,5961.752809,2958.598986,497897.9056,5070.490825,3299.542929
2019-05-05 17:51:00,649330.3667,4096.711365,3137.608273,563559.95,4896.3281,4356.927691,506120.3444,4377.033189,2709.530899,579528.4333,3763.61859,3078.241402,497264.4667,2893.585896,2625.653925,699768.5444,6890.926382,3796.669652,521635.1722,5926.127132,2910.252555,502568.7556,5092.2559,3307.225749
2019-05-05 17:54:00,654376.6889,4101.035326,3133.983119,563215.4611,4905.370356,4366.910166,507700.9444,4274.927913,2707.989275,582697.3389,3816.065481,3070.874252,490164.3556,2795.663584,2611.280264,695244.7611,6827.838855,3814.975136,540074.4222,5939.203882,2900.63345,496922.5111,5042.677666,3305.369305
2019-05-05 17:57:00,653958.9944,4103.270377,3127.923128,563039.3556,4911.987282,4372.23717,507817.7222,4273.773105,2708.753581,579178.1611,3835.001754,3062.101945,479953.0,2741.229861,2578.684603,695613.0833,6823.654843,3828.250994,542847.65,5933.227587,2890.660199,495013.2056,5025.289721,3307.152336
2019-05-05 18:00:00,654798.1389,4178.146203,3140.991273,565560.55,5035.280964,4378.256897,509286.2056,4420.093601,2715.942878,572868.0667,3876.089708,3046.289285,458967.4556,2669.232025,2578.982784,693903.1444,7166.84547,3825.28463,538830.9944,6079.290407,2829.052006,496835.9389,5051.109668,3315.496646
2019-05-05 18:03:00,653124.7389,4185.991469,3134.767537,565497.8944,5050.615452,4388.974904,504882.8778,4466.60384,2721.164391,564887.2833,3843.288054,3018.971278,461417.2944,2674.982666,2591.117185,691729.3278,7138.157084,3826.692967,531454.6167,6048.149384,2808.12148,496055.75,5023.204571,3316.378641
2019-05-05 18:06:00,646615.9556,4241.755468,3090.971034,565680.7222,5060.571637,4401.682748,489896.7556,4453.459601,2717.725812,562337.9778,3853.3307,3029.03882,479118.7889,2705.520875,2623.63868,689855.55,7088.459801,3827.057561,534984.6111,6058.098927,2815.324817,493068.9944,4963.288658,3319.073858
2019-05-05 18:09:00,643798.7,4222.369977,3106.11124,571992.6556,5073.926346,4398.921318,494380.2722,4472.707324,2721.776444,573986.3444,3873.995349,3035.598315,479797.1056,2809.965558,2647.067696,689866.5,7105.763371,3835.663758,536444.1167,6091.35775,2837.612789,499152.1222,4989.931169,3326.568219
